neighbourhood,host_since,host_listings_count,host_identity_verified,property_type,room_type,accommodates,beds,price,log_price,location_cluster
Noe Valley,2015-02-09,1,1,Entire home,Entire home/apt,2,1,147.0,4.997212273764115,1
Parkside,2016-08-08,1,1,Entire rental unit,Entire home/apt,2,2,125.0,4.836281906951478,2
Western Addition,2010-02-16,1,1,Entire rental unit,Entire home/apt,5,3,300.0,5.707110264748875,1
Haight Ashbury,2015-04-11,2,1,Entire rental unit,Entire home/apt,3,2,500.0,6.2166061010848646,1
Downtown/Civic Center,2015-12-18,4,1,Room in boutique hotel,Private room,2,1,102.0,4.634728988229636,0
Haight Ashbury,2012-06-28,1,1,Entire guest suite,Entire home/apt,6,3,250.0,5.5254529391317835,1
Nob Hill,2009-09-15,22,1,Entire rental unit,Entire home/apt,2,1,101.0,4.624972813284271,0
Mission,2011-05-19,1,0,Entire guesthouse,Entire home/apt,2,1,110.0,4.709530201312334,3
Outer Mission,2012-07-01,1,1,Private room in home,Private room,1,1,72.0,4.290459441148391,4
Inner Sunset,2012-04-04,1,1,Entire serviced apartment,Entire home/apt,3,2,149.0,5.0106352940962555,1
Marina,2012-07-08,1,1,Entire home,Entire home/apt,8,4,1149.0,7.047517221357296,0
Mission,2012-07-10,1,1,Entire home,Entire home/apt,4,2,400.0,5.993961427306569,1
Russian Hill,2012-02-03,3,1,Entire rental unit,Entire home/apt,5,4,275.0,5.62040086571715,0
Mission,2011-06-21,1,1,Entire home,Entire home/apt,6,3,325.0,5.786897381366708,3
Mission,2013-07-08,1,1,Entire guest suite,Entire home/apt,2,1,116.0,4.762173934797756,3
Downtown/Civic Center,2015-12-18,4,1,Room in boutique hotel,Private room,2,2,101.0,4.624972813284271,0
South of Market,2014-11-19,2,1,Entire condo,Entire home/apt,4,2,295.0,5.69035945432406,0
Castro/Upper Market,2013-11-02,1,1,Entire rental unit,Entire home/apt,2,1,125.0,4.836281906951478,1
Marina,2015-12-22,2,0,Entire rental unit,Entire home/apt,5,3,160.0,5.081404364984463,1
Castro/Upper Market,2014-10-14,1,1,Entire condo,Entire home/apt,5,2,200.0,5.303304908059076,1
Bernal Heights,2015-12-22,1,1,Private room in home,Private room,2,2,68.0,4.23410650459726,3
Haight Ashbury,2017-02-19,43,1,Private room in hostel,Private room,4,4,90.0,4.51085950651685,1
Castro/Upper Market,2014-08-19,1,1,Entire home,Entire home/apt,2,2,201.0,5.308267697401205,1
Noe Valley,2016-03-26,1,1,Entire home,Entire home/apt,4,2,525.0,6.26530121273771,1
Downtown/Civic Center,2015-10-26,27,1,Room in boutique hotel,Private room,2,1,213.0,5.365976015021851,0
Downtown/Civic Center,2015-10-26,27,1,Room in boutique hotel,Private room,4,2,338.0,5.82600010738045,0
Castro/Upper Market,2013-10-25,7,1,Entire rental unit,Entire home/apt,2,1,110.0,4.709530201312334,1
Inner Richmond,2011-06-14,1,1,Entire home,Entire home/apt,6,3,552.0,6.315358001522335,1
Castro/Upper Market,2015-09-08,1,1,Entire rental unit,Entire home/apt,2,1,166.0,5.117993812416755,1
Nob Hill,2015-11-28,1,1,Entire rental unit,Entire home/apt,3,1,125.0,4.836281906951478,0
Downtown/Civic Center,2015-12-24,43,1,Entire rental unit,Entire home/apt,2,1,99.0,4.605170185988092,0
Mission,2015-12-01,1,1,Entire guest suite,Entire home/apt,2,1,191.0,5.2574953720277815,3
Glen Park,2012-04-23,2,1,Entire rental unit,Entire home/apt,5,3,206.0,5.332718793265369,3
West of Twin Peaks,2015-04-20,3,1,Private room in home,Private room,1,1,99.0,4.605170185988092,4
Downtown/Civic Center,2015-12-18,4,1,Room in boutique hotel,Private room,2,1,189.0,5.247024072160486,0
Downtown/Civic Center,2015-12-18,4,1,Room in boutique hotel,Private room,2,1,225.0,5.420534999272286,0
Glen Park,2016-01-04,1,1,Entire guest suite,Entire home/apt,2,1,108.0,4.6913478822291435,3
Noe Valley,2013-08-30,1,1,Entire loft,Entire home/apt,2,1,206.0,5.332718793265369,1
Russian Hill,2015-03-02,1,1,Entire condo,Entire home/apt,8,4,1400.0,7.244941546337007,0
Parkside,2010-11-30,1,1,Entire rental unit,Entire home/apt,2,1,160.0,5.081404364984463,2
Bernal Heights,2012-06-30,1,1,Entire home,Entire home/apt,4,6,500.0,6.2166061010848646,3
Downtown/Civic Center,2015-10-26,27,1,Room in hotel,Private room,4,2,357.0,5.8805329864007,0
Western Addition,2014-04-07,1,1,Private room in condo,Private room,2,1,125.0,4.836281906951478,1
Downtown/Civic Center,2017-12-30,1,1,Room in hotel,Private room,2,1,125.0,4.836281906951478,0
Bernal Heights,2012-05-08,1,1,Entire guest suite,Entire home/apt,2,1,172.0,5.153291594497779,3
Russian Hill,2014-03-01,6,0,Entire rental unit,Entire home/apt,4,2,135.0,4.912654885736052,0
Excelsior,2012-05-08,2,1,Private room in home,Private room,6,4,86.0,4.465908118654584,4
Noe Valley,2016-01-08,1,1,Entire home,Entire home/apt,2,1,117.0,4.770684624465665,1
Outer Sunset,2011-01-22,1,1,Entire rental unit,Entire home/apt,4,1,184.0,5.220355825078324,2
Mission,2012-02-01,1,1,Entire rental unit,Entire home/apt,2,1,125.0,4.836281906951478,3
Bernal Heights,2012-12-07,2,1,Entire guest suite,Entire home/apt,2,1,116.0,4.762173934797756,3
Bernal Heights,2012-04-03,4,1,Private room in home,Private room,1,1,89.0,4.499809670330265,3
Mission,2011-10-07,1,1,Entire rental unit,Entire home/apt,2,2,193.0,5.267858159063328,1
Potrero Hill,2011-08-28,2,1,Private room in home,Private room,2,1,128.0,4.859812404361672,3
Inner Sunset,2014-04-27,2,1,Entire home,Entire home/apt,6,4,331.0,5.805134968916488,2
Outer Richmond,2015-06-04,2,1,Entire home,Entire home/apt,2,1,130.0,4.875197323201151,2
Marina,2013-07-10,2,1,Entire rental unit,Entire home/apt,2,1,389.0,5.966146739123692,1
Bernal Heights,2011-10-09,1,0,Private room in rental unit,Private room,2,1,100.0,4.61512051684126,3
Western Addition,2011-08-14,1,1,Entire condo,Entire home/apt,5,3,425.0,6.054439346269371,1
Outer Richmond,2016-01-11,1,1,Entire rental unit,Entire home/apt,4,2,150.0,5.017279836814924,2
Mission,2012-02-19,5,1,Private room in home,Private room,1,1,102.0,4.634728988229636,3
Bernal Heights,2015-09-24,4,1,Private room in home,Private room,1,1,99.0,4.605170185988092,3
Potrero Hill,2016-01-13,1,0,Entire home,Entire home/apt,4,2,130.0,4.875197323201151,3
Noe Valley,2011-09-01,4,1,Entire home,Entire home/apt,5,3,275.0,5.62040086571715,1
Western Addition,2016-01-17,1,1,Entire condo,Entire home/apt,2,1,145.0,4.983606621708336,0
Bernal Heights,2014-07-02,4,1,Private room in condo,Private room,2,1,91.0,4.5217885770490405,3
Inner Richmond,2012-10-03,2,1,Private room in home,Private room,1,1,100.0,4.61512051684126,1
Outer Sunset,2016-01-18,1,1,Entire home,Entire home/apt,4,2,330.0,5.802118375377063,2
Russian Hill,2016-01-18,1,1,Entire condo,Entire home/apt,6,4,720.0,6.580639137284949,0
Bernal Heights,2014-07-14,1,0,Entire guest suite,Entire home/apt,3,2,110.0,4.709530201312334,3
Mission,2013-07-25,1,1,Entire rental unit,Entire home/apt,3,3,116.0,4.762173934797756,3
Nob Hill,2016-01-04,1,1,Entire rental unit,Entire home/apt,3,2,199.0,5.298317366548036,0
Outer Mission,2012-01-03,1,1,Private room in home,Private room,2,2,125.0,4.836281906951478,4
Haight Ashbury,2016-01-21,1,0,Entire rental unit,Entire home/apt,2,1,95.0,4.564348191467836,1
Nob Hill,2014-11-13,28,1,Private room in rental unit,Private room,2,1,86.0,4.465908118654584,0
Inner Richmond,2016-09-01,1,1,Entire townhouse,Entire home/apt,2,2,350.0,5.860786223465865,2
Excelsior,2015-01-22,1,1,Entire home,Entire home/apt,6,6,425.0,6.054439346269371,4
Mission,2012-03-09,2,1,Entire rental unit,Entire home/apt,8,5,900.0,6.803505257608338,1
Western Addition,2012-02-12,1,1,Entire condo,Entire home/apt,4,2,255.0,5.545177444479562,1
Nob Hill,2012-10-28,1,1,Entire rental unit,Entire home/apt,2,1,150.0,5.017279836814924,0
Inner Richmond,2015-12-11,2,1,Entire rental unit,Entire home/apt,4,4,120.0,4.795790545596741,1
Inner Richmond,2015-12-11,2,1,Entire rental unit,Entire home/apt,2,1,111.0,4.718498871295094,1
Outer Richmond,2016-01-24,1,1,Entire home,Entire home/apt,8,4,240.0,5.484796933490655,2
Presidio Heights,2016-01-25,1,1,Entire home,Entire home/apt,11,6,900.0,6.803505257608338,1
Pacific Heights,2015-12-06,1,1,Entire rental unit,Entire home/apt,4,3,583.0,6.369900982828227,1
Mission,2014-03-04,1,1,Entire rental unit,Entire home/apt,4,2,680.0,6.523562306149512,1
Western Addition,2012-05-31,3,1,Private room in townhouse,Private room,2,2,88.0,4.48863636973214,1
Potrero Hill,2015-08-10,1,1,Entire home,Entire home/apt,6,3,450.0,6.111467339502679,3
Bernal Heights,2013-04-30,1,1,Entire rental unit,Entire home/apt,4,4,153.0,5.0369526024136295,3
Marina,2014-04-02,17,1,Entire rental unit,Entire home/apt,4,2,234.0,5.459585514144159,0
Noe Valley,2015-10-15,1,1,Entire rental unit,Entire home/apt,2,1,170.0,5.14166355650266,3
Castro/Upper Market,2016-01-27,1,1,Entire rental unit,Entire home/apt,3,2,131.0,4.882801922586371,1
Marina,2016-01-28,1,1,Entire condo,Entire home/apt,2,1,150.0,5.017279836814924,1
Inner Richmond,2014-05-08,2,1,Entire guest suite,Entire home/apt,5,2,229.0,5.438079308923196,2
Twin Peaks,2016-01-29,1,1,Entire home,Entire home/apt,4,2,349.0,5.857933154483459,1
Bayview,2012-11-11,1,1,Entire home,Entire home/apt,2,1,85.0,4.454347296253507,3
Chinatown,2016-01-23,24,1,Room in boutique hotel,Private room,2,1,230.0,5.442417710521793,0
Chinatown,2016-01-23,24,1,Room in boutique hotel,Private room,2,1,250.0,5.5254529391317835,0
West of Twin Peaks,2015-09-10,1,1,Entire guest suite,Entire home/apt,3,2,225.0,5.420534999272286,4
Parkside,2016-01-31,2,1,Private room in home,Private room,2,1,85.0,4.454347296253507,2
Lakeshore,2016-02-01,1,1,Private room in townhouse,Private room,2,1,100.0,4.61512051684126,4
Castro/Upper Market,2015-12-03,1,1,Private room in home,Private room,4,2,217.0,5.384495062789089,1
North Beach,2014-12-01,1,1,Entire rental unit,Entire home/apt,4,2,100.0,4.61512051684126,0
Russian Hill,2014-10-17,1,1,Entire rental unit,Entire home/apt,6,2,300.0,5.707110264748875,0
Russian Hill,2011-12-14,2,1,Private room in condo,Private room,1,1,46.0,3.8501476017100584,0
Mission,2011-05-01,1,0,Entire rental unit,Entire home/apt,2,1,120.0,4.795790545596741,3
Crocker Amazon,2014-12-18,1,1,Entire guesthouse,Entire home/apt,3,1,122.0,4.812184355372417,4
Financial District,2016-09-05,15,1,Room in boutique hotel,Private room,4,2,154.0,5.043425116919247,0
South of Market,2013-09-29,1,1,Entire condo,Entire home/apt,2,1,250.0,5.5254529391317835,0
Ocean View,2015-08-31,1,1,Entire rental unit,Entire home/apt,4,2,135.0,4.912654885736052,4
Chinatown,2016-01-23,24,1,Room in boutique hotel,Private room,2,1,230.0,5.442417710521793,0
Mission,2016-01-31,1,0,Entire rental unit,Entire home/apt,2,1,165.0,5.111987788356544,3
Potrero Hill,2014-11-10,1,1,Private room in home,Private room,2,1,129.0,4.867534450455582,3
Mission,2013-04-17,1,1,Entire condo,Entire home/apt,7,4,437.0,6.082218910376446,3
Noe Valley,2012-09-28,1,1,Entire guest suite,Entire home/apt,2,1,150.0,5.017279836814924,3
South of Market,2013-02-24,2,1,Entire loft,Entire home/apt,4,2,215.0,5.375278407684165,0
Bernal Heights,2012-11-19,5,1,Room in boutique hotel,Private room,1,1,41.0,3.7376696182833684,3
Ocean View,2015-02-05,1,1,Entire home,Entire home/apt,4,4,180.0,5.198497031265826,4
Mission,2009-09-15,22,1,Entire rental unit,Entire home/apt,4,2,97.0,4.584967478670572,3
North Beach,2012-11-14,1,1,Entire guesthouse,Entire home/apt,2,1,350.0,5.860786223465865,0
Haight Ashbury,2015-01-25,1,1,Entire guest suite,Entire home/apt,2,1,178.0,5.187385805840755,1
Mission,2014-11-03,1,1,Private room in home,Private room,3,1,143.0,4.969813299576001,3
Pacific Heights,2016-02-12,1,1,Entire condo,Entire home/apt,4,2,650.0,6.478509642208569,1
Potrero Hill,2010-09-17,1,1,Private room in townhouse,Private room,1,1,89.0,4.499809670330265,3
Nob Hill,2014-11-13,28,1,Private room in rental unit,Private room,2,1,120.0,4.795790545596741,0
Mission,2013-07-21,3,1,Entire rental unit,Entire home/apt,1,1,209.0,5.3471075307174685,1
Nob Hill,2014-11-13,28,1,Private room in rental unit,Private room,2,0,120.0,4.795790545596741,0
Castro/Upper Market,2011-12-17,1,1,Entire guest suite,Entire home/apt,2,1,168.0,5.1298987149230735,1
Nob Hill,2014-11-13,28,1,Private room in rental unit,Private room,2,1,90.0,4.51085950651685,0
Bayview,2012-07-11,1,1,Entire rental unit,Entire home/apt,2,1,250.0,5.5254529391317835,3
Haight Ashbury,2009-06-17,14,1,Private room in rental unit,Private room,1,1,58.0,4.07753744390572,1
Presidio Heights,2014-04-02,17,1,Entire rental unit,Entire home/apt,2,1,132.0,4.890349128221754,1
West of Twin Peaks,2013-07-16,2,1,Private room in home,Private room,2,1,119.0,4.787491742782046,4
Noe Valley,2011-08-28,4,0,Entire rental unit,Entire home/apt,2,1,304.0,5.720311776607412,3
Outer Mission,2012-05-22,1,1,Entire rental unit,Entire home/apt,2,1,225.0,5.420534999272286,4
Bernal Heights,2012-06-22,1,1,Entire home,Entire home/apt,4,2,180.0,5.198497031265826,3
Marina,2012-10-07,1,1,Entire rental unit,Entire home/apt,2,1,650.0,6.478509642208569,1
Bernal Heights,2010-09-23,1,1,Entire guest suite,Entire home/apt,4,2,189.0,5.247024072160486,3
Potrero Hill,2011-08-28,2,1,Private room in home,Private room,2,1,128.0,4.859812404361672,3
South of Market,2011-11-02,4,1,Private room in home,Private room,2,1,106.0,4.672828834461906,0
South of Market,2011-11-02,4,1,Private room in home,Private room,2,1,83.0,4.430816798843313,0
Chinatown,2013-11-12,9,1,Entire rental unit,Entire home/apt,3,2,149.0,5.0106352940962555,0
Chinatown,2013-11-12,9,1,Entire rental unit,Entire home/apt,3,2,149.0,5.0106352940962555,0
Chinatown,2013-11-12,9,1,Entire rental unit,Entire home/apt,2,1,126.0,4.844187086458591,0
Mission,2009-09-15,22,1,Entire home,Entire home/apt,2,1,179.0,5.19295685089021,3
Marina,2012-09-23,1,1,Entire townhouse,Entire home/apt,2,1,603.0,6.403574197934815,1
Mission,2009-09-15,22,1,Entire rental unit,Entire home/apt,2,1,92.0,4.532599493153256,1
Mission,2009-09-15,22,1,Entire rental unit,Entire home/apt,4,3,114.0,4.74493212836325,3
Bernal Heights,2015-03-25,1,1,Entire rental unit,Entire home/apt,2,1,145.0,4.983606621708336,3
Parkside,2016-01-31,2,1,Private room in home,Private room,2,1,80.0,4.394449154672439,2
Noe Valley,2015-02-06,1,1,Entire guest suite,Entire home/apt,4,2,165.0,5.111987788356544,3
Outer Richmond,2015-06-21,3,1,Private room in home,Private room,2,1,89.0,4.499809670330265,2
Mission,2012-12-17,154,1,Entire rental unit,Entire home/apt,3,2,118.0,4.77912349311153,3
Excelsior,2012-04-30,2,1,Entire rental unit,Entire home/apt,3,1,112.0,4.727387818712341,4
Western Addition,2011-11-19,1,1,Entire condo,Entire home/apt,6,3,180.0,5.198497031265826,1
Potrero Hill,2014-03-04,1,0,Entire rental unit,Entire home/apt,5,4,159.0,5.075173815233827,3
Russian Hill,2013-01-13,2,1,Entire rental unit,Entire home/apt,1,1,180.0,5.198497031265826,0
Nob Hill,2013-03-22,1,1,Entire rental unit,Entire home/apt,2,1,150.0,5.017279836814924,0
Castro/Upper Market,2016-03-09,1,1,Entire rental unit,Entire home/apt,2,1,133.0,4.897839799950911,1
Russian Hill,2014-12-20,2,1,Entire rental unit,Entire home/apt,3,3,175.0,5.170483995038151,0
Marina,2015-12-22,2,0,Entire condo,Entire home/apt,4,3,200.0,5.303304908059076,1
Russian Hill,2014-08-06,4,1,Private room in rental unit,Private room,1,1,77.0,4.356708826689592,0
Western Addition,2012-07-13,1,1,Private room in condo,Private room,2,1,90.0,4.51085950651685,1
Inner Richmond,2016-03-15,3,1,Entire condo,Entire home/apt,5,3,160.0,5.081404364984463,2
Downtown/Civic Center,2012-12-17,154,1,Entire rental unit,Entire home/apt,2,1,82.0,4.418840607796598,0
Outer Sunset,2012-05-30,1,1,Entire home,Entire home/apt,8,6,530.0,6.274762021241939,2
Haight Ashbury,2015-09-01,2,1,Entire home,Entire home/apt,8,4,980.0,6.8885724595653635,1
Castro/Upper Market,2012-06-05,1,1,Entire rental unit,Entire home/apt,5,2,257.0,5.552959584921617,1
Chinatown,2013-11-12,9,1,Entire rental unit,Entire home/apt,2,1,123.0,4.820281565605037,0
Outer Sunset,2016-03-24,2,1,Entire rental unit,Entire home/apt,6,4,142.0,4.962844630259907,2
Noe Valley,2013-03-26,2,1,Entire rental unit,Entire home/apt,2,1,118.0,4.77912349311153,1
Noe Valley,2013-03-26,2,1,Entire rental unit,Entire home/apt,2,1,100.0,4.61512051684126,1
Bernal Heights,2016-03-25,1,1,Private room in guest suite,Private room,2,2,77.0,4.356708826689592,3
Noe Valley,2012-09-16,2,1,Private room in home,Private room,2,1,95.0,4.564348191467836,1
Inner Richmond,2011-08-02,1,1,Entire guest suite,Entire home/apt,4,2,275.0,5.62040086571715,1
Downtown/Civic Center,2014-06-20,45,0,Room in boutique hotel,Private room,2,1,62.0,4.143134726391533,0
Downtown/Civic Center,2014-06-20,45,0,Room in boutique hotel,Private room,2,1,64.0,4.174387269895637,0
Nob Hill,2013-02-02,1,1,Entire rental unit,Entire home/apt,2,1,127.0,4.852030263919617,0
Excelsior,2013-09-06,5,1,Entire home,Entire home/apt,5,2,161.0,5.087596335232384,3
Nob Hill,2016-03-31,1,0,Entire bungalow,Entire home/apt,2,2,107.0,4.68213122712422,0
Outer Sunset,2013-07-07,2,1,Private room in home,Private room,1,1,45.0,3.828641396489095,2
Noe Valley,2011-09-13,2,1,Entire rental unit,Entire home/apt,2,1,100.0,4.61512051684126,3
Mission,2013-01-26,7,1,Entire home,Entire home/apt,5,5,500.0,6.2166061010848646,3
South of Market,2013-11-06,1,1,Entire loft,Entire home/apt,2,1,315.0,5.755742213586912,0
North Beach,2011-02-05,1,1,Entire home,Entire home/apt,6,3,450.0,6.111467339502679,0
Mission,2013-08-30,1,1,Entire rental unit,Entire home/apt,2,1,194.0,5.272999558563747,1
Pacific Heights,2016-04-11,1,1,Entire guest suite,Entire home/apt,2,1,125.0,4.836281906951478,1
Bernal Heights,2015-02-05,1,1,Entire rental unit,Entire home/apt,2,1,115.0,4.7535901911063645,3
Downtown/Civic Center,2014-01-25,5,1,Private room in rental unit,Private room,2,1,209.0,5.3471075307174685,0
Western Addition,2016-04-13,9,1,Private room in bed and breakfast,Private room,2,1,364.0,5.8998973535824915,1
Inner Richmond,2016-03-15,3,1,Private room in condo,Private room,2,1,79.0,4.382026634673881,2
Inner Richmond,2016-03-15,3,1,Private room in condo,Private room,2,1,80.0,4.394449154672439,2
Russian Hill,2013-12-27,1,1,Entire rental unit,Entire home/apt,2,1,139.0,4.941642422609304,0
Pacific Heights,2016-04-14,2,1,Entire guesthouse,Entire home/apt,4,2,175.0,5.170483995038151,0
Downtown/Civic Center,2014-07-24,2,1,Private room in rental unit,Private room,2,1,225.0,5.420534999272286,0
Mission,2012-12-17,154,1,Entire rental unit,Entire home/apt,2,1,72.0,4.290459441148391,1
Outer Richmond,2010-10-04,2,1,Entire rental unit,Entire home/apt,4,2,145.0,4.983606621708336,2
Nob Hill,2014-11-13,28,1,Private room in rental unit,Private room,2,1,60.0,4.110873864173311,0
Excelsior,2013-09-06,5,1,Entire home,Entire home/apt,7,3,195.0,5.278114659230517,3
Downtown/Civic Center,2014-06-20,45,0,Room in boutique hotel,Private room,2,1,77.0,4.356708826689592,0
Potrero Hill,2014-11-17,1,1,Private room in rental unit,Private room,2,1,78.0,4.3694478524670215,3
West of Twin Peaks,2012-12-02,1,0,Entire guest suite,Entire home/apt,2,1,106.0,4.672828834461906,4
Nob Hill,2014-07-24,2,1,Entire rental unit,Entire home/apt,2,1,354.0,5.872117789475416,0
Castro/Upper Market,2013-09-16,1,1,Entire rental unit,Entire home/apt,2,1,175.0,5.170483995038151,1
Marina,2016-04-22,1,1,Entire home,Entire home/apt,8,7,1650.0,7.409136443920128,0
Marina,2014-07-23,1,1,Entire rental unit,Entire home/apt,4,3,395.0,5.981414211254481,1
Mission,2014-06-26,2,1,Entire rental unit,Entire home/apt,5,3,150.0,5.017279836814924,3
